disruption_id,operator_ref,route_number,start_time,end_time,duration_minutes,reason,severity,description
DIS-702040,TDTR,158,2026-05-22T05:28:57.000+05:45,2026-05-22T08:12:57.000+05:45,164,Diversion,low,Diversion affecting line 158 (low severity)
DIS-875351,SWWD,PD3,2026-07-01T07:21:35.000+05:45,2026-07-01T08:25:35.000+05:45,64,Traffic congestion,low,Traffic congestion affecting line PD3 (low severity)
DIS-188906,SWWD,ST,2026-05-21T05:16:33.000+05:45,2026-05-21T07:14:33.000+05:45,118,Traffic congestion,low,Traffic congestion affecting line ST (low severity)
DIS-561587,WDBC,NFR,2026-06-09T02:11:51.000+05:45,2026-06-09T04:39:51.000+05:45,148,Road closure,medium,Road closure affecting line NFR (medium severity)
DIS-572101,UNIL,U2B,2026-05-16T16:27:22.000+05:45,2026-05-16T18:43:22.000+05:45,136,Accident on route,high,Accident on route affecting line U2B (high severity)
DIS-465302,SVCT,207,2026-05-29T12:44:37.000+05:45,2026-05-29T14:42:37.000+05:45,118,Traffic congestion,medium,Traffic congestion affecting line 207 (medium severity)
DIS-260029,WDBC,18,2026-06-06T13:32:54.000+05:45,2026-06-06T17:31:54.000+05:45,239,Vehicle breakdown,severe,Vehicle breakdown affecting line 18 (severe severity)
DIS-842435,SVCT,63,2026-05-21T18:45:25.000+05:45,2026-05-21T21:28:25.000+05:45,163,Vehicle breakdown,low,Vehicle breakdown affecting line 63 (low severity)
DIS-106598,TDTR,156,2026-04-23T15:54:36.000+05:45,2026-04-23T19:40:36.000+05:45,226,Severe weather,medium,Severe weather affecting line 156 (medium severity)
DIS-267807,SQ,DEAD,2026-07-19T02:05:16.000+05:45,2026-07-19T04:37:16.000+05:45,152,Planned engineering works,severe,Planned engineering works affecting line DEAD (severe severity)
DIS-392579,SQ,TM1,2026-05-06T15:14:46.000+05:45,2026-05-06T16:38:46.000+05:45,84,Driver shortage,low,Driver shortage affecting line TM1 (low severity)
DIS-166018,WDBC,120,2026-04-28T01:21:59.000+05:45,2026-04-28T02:38:59.000+05:45,77,Traffic congestion,low,Traffic congestion affecting line 120 (low severity)
DIS-524589,SWWD,926,2026-07-05T06:28:20.000+05:45,2026-07-05T08:35:20.000+05:45,127,Accident on route,low,Accident on route affecting line 926 (low severity)
DIS-695014,SVCT,8,2026-05-31T21:13:28.000+05:45,2026-05-31T22:14:28.000+05:45,61,Roadworks,medium,Roadworks affecting line 8 (medium severity)
DIS-864854,TDTR,42,2026-06-11T23:16:09.000+05:45,2026-06-12T02:42:09.000+05:45,206,Severe weather,medium,Severe weather affecting line 42 (medium severity)
DIS-230933,SWWD,603,2026-05-01T06:43:18.000+05:45,2026-05-01T07:40:18.000+05:45,57,Planned engineering works,medium,Planned engineering works affecting line 603 (medium severity)
DIS-408000,WDBC,ONE,2026-06-28T07:26:18.000+05:45,2026-06-28T09:41:18.000+05:45,135,Driver shortage,low,Driver shortage affecting line ONE (low severity)
DIS-569599,WDBC,775,2026-07-04T12:34:52.000+05:45,2026-07-04T13:22:52.000+05:45,48,Roadworks,high,Roadworks affecting line 775 (high severity)
DIS-177181,SVCT,12,2026-07-09T02:22:27.000+05:45,2026-07-09T03:07:27.000+05:45,45,Diversion,high,Diversion affecting line 12 (high severity)
DIS-188203,TDTR,920,2026-06-29T17:18:30.000+05:45,2026-06-29T21:01:30.000+05:45,223,Road closure,high,Road closure affecting line 920 (high severity)
DIS-986996,BLUS,28,2026-06-01T10:53:26.000+05:45,2026-06-01T11:10:26.000+05:45,17,Vehicle breakdown,low,Vehicle breakdown affecting line 28 (low severity)
DIS-852263,WDBC,L5,2026-07-06T20:03:56.000+05:45,2026-07-06T23:27:56.000+05:45,204,Diversion,severe,Diversion affecting line L5 (severe severity)
DIS-815593,WDBC,NFB,2026-06-13T10:07:17.000+05:45,2026-06-13T12:27:17.000+05:45,140,Planned engineering works,severe,Planned engineering works affecting line NFB (severe severity)
DIS-202460,WDBC,X3,2026-06-28T09:08:05.000+05:45,2026-06-28T10:52:05.000+05:45,104,Diversion,low,Diversion affecting line X3 (low severity)
DIS-667537,SVCT,213,2026-06-21T04:49:55.000+05:45,2026-06-21T06:53:55.000+05:45,124,Vehicle breakdown,high,Vehicle breakdown affecting line 213 (high severity)
DIS-135589,TDTR,9,2026-05-16T20:28:35.000+05:45,2026-05-17T00:09:35.000+05:45,221,Roadworks,low,Roadworks affecting line 9 (low severity)
DIS-514238,WDBC,82,2026-06-21T06:11:51.000+05:45,2026-06-21T08:25:51.000+05:45,134,Traffic congestion,severe,Traffic congestion affecting line 82 (severe severity)
DIS-985434,WDBC,86,2026-06-26T02:40:21.000+05:45,2026-06-26T04:14:21.000+05:45,94,Traffic congestion,medium,Traffic congestion affecting line 86 (medium severity)
DIS-666644,WDBC,NFR,2026-04-25T15:16:02.000+05:45,2026-04-25T18:04:02.000+05:45,168,Traffic congestion,medium,Traffic congestion affecting line NFR (medium severity)
DIS-391423,SWWD,D2,2026-06-22T13:39:55.000+05:45,2026-06-22T17:08:55.000+05:45,209,Driver shortage,severe,Driver shortage affecting line D2 (severe severity)
DIS-475102,WDBC,3x,2026-05-17T03:13:15.000+05:45,2026-05-17T04:48:15.000+05:45,95,Accident on route,high,Accident on route affecting line 3x (high severity)
DIS-108958,WDBC,10,2026-07-10T06:30:09.000+05:45,2026-07-10T07:09:09.000+05:45,39,Accident on route,severe,Accident on route affecting line 10 (severe severity)
DIS-821006,SWWD,966,2026-06-02T00:36:20.000+05:45,2026-06-02T01:18:20.000+05:45,42,Traffic congestion,medium,Traffic congestion affecting line 966 (medium severity)
DIS-460648,WDBC,U1,2026-05-07T09:44:01.000+05:45,2026-05-07T13:38:01.000+05:45,234,Road closure,medium,Road closure affecting line U1 (medium severity)
DIS-705633,WDBC,NFB,2026-04-21T00:32:44.000+05:45,2026-04-21T04:05:44.000+05:45,213,Severe weather,low,Severe weather affecting line NFB (low severity)
DIS-532664,SWWD,R10,2026-06-29T15:42:25.000+05:45,2026-06-29T15:59:25.000+05:45,17,Driver shortage,severe,Driver shortage affecting line R10 (severe severity)
DIS-240846,WDBC,775,2026-06-05T10:47:31.000+05:45,2026-06-05T11:15:31.000+05:45,28,Roadworks,severe,Roadworks affecting line 775 (severe severity)
DIS-253871,DAMY,20,2026-05-11T05:23:54.000+05:45,2026-05-11T07:39:54.000+05:45,136,Diversion,low,Diversion affecting line 20 (low severity)
DIS-855402,SVCT,7,2026-05-10T12:02:53.000+05:45,2026-05-10T13:39:53.000+05:45,97,Severe weather,severe,Severe weather affecting line 7 (severe severity)
DIS-101096,SWWD,927,2026-05-20T21:50:11.000+05:45,2026-05-20T23:43:11.000+05:45,113,Vehicle breakdown,severe,Vehicle breakdown affecting line 927 (severe severity)
DIS-909389,WDBC,30,2026-06-25T10:52:42.000+05:45,2026-06-25T13:37:42.000+05:45,165,Traffic congestion,low,Traffic congestion affecting line 30 (low severity)
DIS-253961,TDTR,80,2026-07-09T02:43:15.000+05:45,2026-07-09T06:12:15.000+05:45,209,Traffic congestion,low,Traffic congestion affecting line 80 (low severity)
DIS-723163,TDTR,X76,2026-06-18T23:23:15.000+05:45,2026-06-19T01:07:15.000+05:45,104,Accident on route,medium,Accident on route affecting line X76 (medium severity)
DIS-918761,SWWD,R8,2026-05-05T19:22:27.000+05:45,2026-05-05T22:34:27.000+05:45,192,Planned engineering works,severe,Planned engineering works affecting line R8 (severe severity)
DIS-819883,BLUS,8,2026-07-06T12:23:53.000+05:45,2026-07-06T13:26:53.000+05:45,63,Vehicle breakdown,severe,Vehicle breakdown affecting line 8 (severe severity)
DIS-166593,UNIL,U1C,2026-06-03T00:59:28.000+05:45,2026-06-03T01:30:28.000+05:45,31,Road closure,high,Road closure affecting line U1C (high severity)
DIS-104529,BLUS,QC,2026-07-10T03:20:30.000+05:45,2026-07-10T06:29:30.000+05:45,189,Traffic congestion,severe,Traffic congestion affecting line QC (severe severity)
DIS-376063,WDBC,898,2026-07-11T16:11:00.000+05:45,2026-07-11T19:37:00.000+05:45,206,Driver shortage,medium,Driver shortage affecting line 898 (medium severity)
DIS-396824,SWWD,26,2026-07-20T12:56:38.000+05:45,2026-07-20T13:32:38.000+05:45,36,Road closure,severe,Road closure affecting line 26 (severe severity)
DIS-324196,WDBC,NFB,2026-06-14T05:37:03.000+05:45,2026-06-14T06:15:03.000+05:45,38,Accident on route,medium,Accident on route affecting line NFB (medium severity)
DIS-102113,TDTR,159,2026-06-20T23:14:05.000+05:45,2026-06-21T02:27:05.000+05:45,193,Vehicle breakdown,high,Vehicle breakdown affecting line 159 (high severity)
DIS-913677,SWWD,907,2026-05-15T12:50:12.000+05:45,2026-05-15T16:07:12.000+05:45,197,Accident on route,low,Accident on route affecting line 907 (low severity)
DIS-606758,SWWD,29,2026-07-19T21:21:54.000+05:45,2026-07-20T01:10:54.000+05:45,229,Driver shortage,severe,Driver shortage affecting line 29 (severe severity)
DIS-497627,SWWD,978,2026-07-15T15:18:20.000+05:45,2026-07-15T19:10:20.000+05:45,232,Accident on route,high,Accident on route affecting line 978 (high severity)
DIS-489705,UNIL,U1A,2026-07-20T07:50:38.000+05:45,2026-07-20T08:35:38.000+05:45,45,Roadworks,severe,Roadworks affecting line U1A (severe severity)
DIS-942324,WDBC,112,2026-07-08T16:35:20.000+05:45,2026-07-08T18:17:20.000+05:45,102,Vehicle breakdown,medium,Vehicle breakdown affecting line 112 (medium severity)
DIS-554407,TDTR,22,2026-06-16T09:08:26.000+05:45,2026-06-16T11:35:26.000+05:45,147,Diversion,high,Diversion affecting line 22 (high severity)
DIS-836229,WDBC,86,2026-07-10T22:03:56.000+05:45,2026-07-10T23:02:56.000+05:45,59,Severe weather,low,Severe weather affecting line 86 (low severity)
DIS-849084,WDBC,X3,2026-07-16T04:58:01.000+05:45,2026-07-16T07:14:01.000+05:45,136,Diversion,severe,Diversion affecting line X3 (severe severity)
DIS-290692,TDTR,NW2,2026-07-13T15:45:20.000+05:45,2026-07-13T18:34:20.000+05:45,169,Road closure,low,Road closure affecting line NW2 (low severity)
DIS-292925,WDBC,24,2026-07-19T07:51:55.000+05:45,2026-07-19T10:51:55.000+05:45,180,Severe weather,high,Severe weather affecting line 24 (high severity)
DIS-264953,TDTR,152,2026-05-07T04:45:01.000+05:45,2026-05-07T06:41:01.000+05:45,116,Road closure,severe,Road closure affecting line 152 (severe severity)
DIS-943971,DAMY,6,2026-06-10T19:13:00.000+05:45,2026-06-10T22:42:00.000+05:45,209,Roadworks,high,Roadworks affecting line 6 (high severity)
DIS-258478,SVCT,7,2026-07-09T04:22:54.000+05:45,2026-07-09T07:19:54.000+05:45,177,Severe weather,low,Severe weather affecting line 7 (low severity)
DIS-844489,WDBC,15,2026-05-03T04:52:16.000+05:45,2026-05-03T07:27:16.000+05:45,155,Severe weather,high,Severe weather affecting line 15 (high severity)
DIS-569874,TDTR,48A,2026-04-22T19:36:39.000+05:45,2026-04-22T22:26:39.000+05:45,170,Diversion,severe,Diversion affecting line 48A (severe severity)
DIS-160585,SWWD,X2,2026-06-04T00:31:35.000+05:45,2026-06-04T03:33:35.000+05:45,182,Traffic congestion,medium,Traffic congestion affecting line X2 (medium severity)
DIS-537882,TDTR,R24,2026-06-03T08:12:45.000+05:45,2026-06-03T11:10:45.000+05:45,178,Severe weather,severe,Severe weather affecting line R24 (severe severity)
DIS-320576,BLUS,23,2026-06-07T16:45:47.000+05:45,2026-06-07T19:16:47.000+05:45,151,Driver shortage,high,Driver shortage affecting line 23 (high severity)
DIS-473259,SWWD,D2,2026-07-13T19:41:38.000+05:45,2026-07-13T21:24:38.000+05:45,103,Vehicle breakdown,medium,Vehicle breakdown affecting line D2 (medium severity)
DIS-477369,WDBC,18,2026-06-29T04:20:16.000+05:45,2026-06-29T05:58:16.000+05:45,98,Vehicle breakdown,severe,Vehicle breakdown affecting line 18 (severe severity)
DIS-546256,BLUS,8,2026-06-21T10:51:18.000+05:45,2026-06-21T12:57:18.000+05:45,126,Driver shortage,low,Driver shortage affecting line 8 (low severity)
DIS-607105,TDTR,156,2026-07-03T10:50:31.000+05:45,2026-07-03T14:16:31.000+05:45,206,Accident on route,low,Accident on route affecting line 156 (low severity)
DIS-350001,BLUS,19,2026-06-20T04:34:33.000+05:45,2026-06-20T05:31:33.000+05:45,57,Accident on route,severe,Accident on route affecting line 19 (severe severity)
DIS-780267,SVCT,9,2026-05-27T10:17:40.000+05:45,2026-05-27T11:03:40.000+05:45,46,Vehicle breakdown,low,Vehicle breakdown affecting line 9 (low severity)
DIS-360295,WDBC,8,2026-06-26T21:58:35.000+05:45,2026-06-27T01:42:35.000+05:45,224,Vehicle breakdown,low,Vehicle breakdown affecting line 8 (low severity)
DIS-982496,SVCT,68,2026-05-21T14:08:20.000+05:45,2026-05-21T15:10:20.000+05:45,62,Road closure,low,Road closure affecting line 68 (low severity)
DIS-473470,UNIL,U1C,2026-05-06T08:38:35.000+05:45,2026-05-06T09:16:35.000+05:45,38,Vehicle breakdown,high,Vehicle breakdown affecting line U1C (high severity)
DIS-427119,SWWD,PR9,2026-07-19T04:33:51.000+05:45,2026-07-19T07:42:51.000+05:45,189,Vehicle breakdown,medium,Vehicle breakdown affecting line PR9 (medium severity)
DIS-286359,WDBC,737,2026-07-10T11:37:46.000+05:45,2026-07-10T13:20:46.000+05:45,103,Diversion,low,Diversion affecting line 737 (low severity)
DIS-276825,WDBC,9,2026-07-01T19:01:08.000+05:45,2026-07-01T20:25:08.000+05:45,84,Severe weather,severe,Severe weather affecting line 9 (severe severity)
DIS-541469,WDBC,13A,2026-07-10T16:54:37.000+05:45,2026-07-10T19:28:37.000+05:45,154,Vehicle breakdown,medium,Vehicle breakdown affecting line 13A (medium severity)
