disruption_id,operator_ref,route_number,start_time,end_time,duration_minutes,reason,severity,description
DIS-393803,WDBC,32,2026-05-29T05:41:05.000+05:45,2026-05-29T07:17:05.000+05:45,96,Severe weather,severe,Severe weather affecting line 32 (severe severity)
DIS-334529,SVCT,2,2026-07-03T11:37:30.000+05:45,2026-07-03T13:30:30.000+05:45,113,Traffic congestion,high,Traffic congestion affecting line 2 (high severity)
DIS-666120,TDTR,42,2026-07-09T08:40:03.000+05:45,2026-07-09T10:31:03.000+05:45,111,Diversion,medium,Diversion affecting line 42 (medium severity)
DIS-681822,BLUS,13,2026-04-28T16:29:19.000+05:45,2026-04-28T18:25:19.000+05:45,116,Vehicle breakdown,high,Vehicle breakdown affecting line 13 (high severity)
DIS-619288,WDBC,RG2,2026-07-13T19:50:03.000+05:45,2026-07-13T21:39:03.000+05:45,109,Road closure,medium,Road closure affecting line RG2 (medium severity)
DIS-269424,SWWD,2,2026-05-12T17:35:58.000+05:45,2026-05-12T18:56:58.000+05:45,81,Road closure,medium,Road closure affecting line 2 (medium severity)
DIS-465631,WDBC,26,2026-06-09T14:49:58.000+05:45,2026-06-09T16:26:58.000+05:45,97,Roadworks,medium,Roadworks affecting line 26 (medium severity)
DIS-221856,SWWD,R4,2026-06-12T14:47:52.000+05:45,2026-06-12T17:41:52.000+05:45,174,Driver shortage,high,Driver shortage affecting line R4 (high severity)
DIS-837967,WDBC,NFB,2026-04-27T07:33:12.000+05:45,2026-04-27T10:32:12.000+05:45,179,Diversion,high,Diversion affecting line NFB (high severity)
DIS-159560,SWWD,26,2026-04-22T13:16:16.000+05:45,2026-04-22T13:30:16.000+05:45,14,Vehicle breakdown,low,Vehicle breakdown affecting line 26 (low severity)
DIS-964477,BLUS,10,2026-06-08T18:01:02.000+05:45,2026-06-08T20:16:02.000+05:45,135,Driver shortage,high,Driver shortage affecting line 10 (high severity)
DIS-662218,TDTR,156,2026-05-21T04:46:48.000+05:45,2026-05-21T07:02:48.000+05:45,136,Diversion,medium,Diversion affecting line 156 (medium severity)
DIS-697834,SWWD,907,2026-07-03T21:12:22.000+05:45,2026-07-04T01:10:22.000+05:45,238,Vehicle breakdown,medium,Vehicle breakdown affecting line 907 (medium severity)
DIS-357153,SVCT,201,2026-06-06T19:46:46.000+05:45,2026-06-06T20:14:46.000+05:45,28,Traffic congestion,medium,Traffic congestion affecting line 201 (medium severity)
DIS-355759,UNIL,U1C,2026-05-13T15:13:58.000+05:45,2026-05-13T18:58:58.000+05:45,225,Driver shortage,medium,Driver shortage affecting line U1C (medium severity)
DIS-245254,UNIL,U2C,2026-06-14T08:57:21.000+05:45,2026-06-14T09:16:21.000+05:45,19,Accident on route,high,Accident on route affecting line U2C (high severity)
DIS-119084,SWWD,650,2026-06-30T20:14:54.000+05:45,2026-06-30T22:25:54.000+05:45,131,Road closure,high,Road closure affecting line 650 (high severity)
DIS-632943,SWWD,906,2026-05-24T21:45:57.000+05:45,2026-05-25T00:05:57.000+05:45,140,Diversion,high,Diversion affecting line 906 (high severity)
DIS-188430,TDTR,X46,2026-05-27T14:29:48.000+05:45,2026-05-27T15:47:48.000+05:45,78,Accident on route,medium,Accident on route affecting line X46 (medium severity)
DIS-376651,TDTR,1B,2026-05-20T03:26:03.000+05:45,2026-05-20T05:06:03.000+05:45,100,Severe weather,severe,Severe weather affecting line 1B (severe severity)
DIS-228563,BLUS,21,2026-06-17T07:22:22.000+05:45,2026-06-17T10:15:22.000+05:45,173,Severe weather,high,Severe weather affecting line 21 (high severity)
DIS-835049,WDBC,125,2026-07-12T03:38:31.000+05:45,2026-07-12T05:59:31.000+05:45,141,Roadworks,severe,Roadworks affecting line 125 (severe severity)
DIS-201477,WDBC,Q1,2026-05-27T13:01:53.000+05:45,2026-05-27T15:26:53.000+05:45,145,Diversion,low,Diversion affecting line Q1 (low severity)
DIS-337529,SWWD,88,2026-04-30T15:19:35.000+05:45,2026-04-30T16:10:35.000+05:45,51,Road closure,medium,Road closure affecting line 88 (medium severity)
DIS-784963,WDBC,24,2026-06-20T08:52:06.000+05:45,2026-06-20T12:15:06.000+05:45,203,Vehicle breakdown,low,Vehicle breakdown affecting line 24 (low severity)
DIS-289081,WDBC,125,2026-06-01T11:09:03.000+05:45,2026-06-01T14:56:03.000+05:45,227,Traffic congestion,medium,Traffic congestion affecting line 125 (medium severity)
DIS-607235,TDTR,42,2026-06-22T21:07:44.000+05:45,2026-06-23T01:06:44.000+05:45,239,Roadworks,high,Roadworks affecting line 42 (high severity)
DIS-195140,BLUS,N18,2026-06-01T20:41:42.000+05:45,2026-06-01T22:36:42.000+05:45,115,Driver shortage,severe,Driver shortage affecting line N18 (severe severity)
DIS-258911,SVCT,7,2026-04-27T06:51:24.000+05:45,2026-04-27T09:21:24.000+05:45,150,Roadworks,low,Roadworks affecting line 7 (low severity)
DIS-866240,BLUS,539,2026-05-12T05:17:33.000+05:45,2026-05-12T08:08:33.000+05:45,171,Severe weather,medium,Severe weather affecting line 539 (medium severity)
DIS-358845,WDBC,16,2026-07-01T16:44:41.000+05:45,2026-07-01T17:44:41.000+05:45,60,Road closure,high,Road closure affecting line 16 (high severity)
DIS-351437,SVCT,38,2026-06-10T15:42:11.000+05:45,2026-06-10T16:12:11.000+05:45,30,Accident on route,low,Accident on route affecting line 38 (low severity)
DIS-451745,WDBC,5,2026-05-07T16:41:42.000+05:45,2026-05-07T17:00:42.000+05:45,19,Vehicle breakdown,low,Vehicle breakdown affecting line 5 (low severity)
DIS-150155,WDBC,17,2026-06-12T12:07:22.000+05:45,2026-06-12T12:42:22.000+05:45,35,Vehicle breakdown,medium,Vehicle breakdown affecting line 17 (medium severity)
DIS-377491,WDBC,16,2026-05-18T22:33:50.000+05:45,2026-05-18T22:43:50.000+05:45,10,Traffic congestion,severe,Traffic congestion affecting line 16 (severe severity)
DIS-710438,BLUS,504,2026-05-20T11:28:36.000+05:45,2026-05-20T13:20:36.000+05:45,112,Accident on route,severe,Accident on route affecting line 504 (severe severity)
DIS-229244,DAMY,X8,2026-06-21T21:49:28.000+05:45,2026-06-21T22:36:28.000+05:45,47,Roadworks,medium,Roadworks affecting line X8 (medium severity)
DIS-782044,BLUS,503,2026-05-04T20:57:51.000+05:45,2026-05-05T00:03:51.000+05:45,186,Traffic congestion,low,Traffic congestion affecting line 503 (low severity)
DIS-804280,TDTR,23,2026-05-16T13:04:44.000+05:45,2026-05-16T15:02:44.000+05:45,118,Driver shortage,high,Driver shortage affecting line 23 (high severity)
DIS-650799,BLUS,61,2026-06-06T00:26:45.000+05:45,2026-06-06T01:30:45.000+05:45,64,Road closure,medium,Road closure affecting line 61 (medium severity)
DIS-691795,TDTR,158,2026-05-02T02:10:04.000+05:45,2026-05-02T03:39:04.000+05:45,89,Planned engineering works,severe,Planned engineering works affecting line 158 (severe severity)
DIS-560010,TDTR,155,2026-05-12T11:20:35.000+05:45,2026-05-12T13:21:35.000+05:45,121,Severe weather,high,Severe weather affecting line 155 (high severity)
DIS-897062,BLUS,14,2026-04-22T00:45:15.000+05:45,2026-04-22T01:55:15.000+05:45,70,Vehicle breakdown,severe,Vehicle breakdown affecting line 14 (severe severity)
DIS-413808,TDTR,9,2026-06-23T09:34:52.000+05:45,2026-06-23T12:30:52.000+05:45,176,Diversion,severe,Diversion affecting line 9 (severe severity)
DIS-952704,DAMY,X8,2026-04-26T11:11:23.000+05:45,2026-04-26T13:35:23.000+05:45,144,Severe weather,medium,Severe weather affecting line X8 (medium severity)
DIS-926763,WDBC,25,2026-06-21T19:30:14.000+05:45,2026-06-21T22:42:14.000+05:45,192,Planned engineering works,high,Planned engineering works affecting line 25 (high severity)
DIS-388647,WDBC,17,2026-05-21T20:32:18.000+05:45,2026-05-21T23:28:18.000+05:45,176,Planned engineering works,medium,Planned engineering works affecting line 17 (medium severity)
DIS-276911,SWWD,R1,2026-07-09T13:44:18.000+05:45,2026-07-09T15:53:18.000+05:45,129,Planned engineering works,severe,Planned engineering works affecting line R1 (severe severity)
DIS-358879,SWWD,929,2026-05-16T16:13:39.000+05:45,2026-05-16T19:38:39.000+05:45,205,Diversion,medium,Diversion affecting line 929 (medium severity)
DIS-432155,WDBC,38,2026-07-04T07:22:34.000+05:45,2026-07-04T08:26:34.000+05:45,64,Road closure,low,Road closure affecting line 38 (low severity)
DIS-482593,SWWD,907,2026-06-14T21:35:15.000+05:45,2026-06-15T00:05:15.000+05:45,150,Traffic congestion,high,Traffic congestion affecting line 907 (high severity)
DIS-297017,WDBC,86,2026-05-27T14:01:31.000+05:45,2026-05-27T16:08:31.000+05:45,127,Severe weather,low,Severe weather affecting line 86 (low severity)
DIS-851357,SVCT,12,2026-06-26T04:26:49.000+05:45,2026-06-26T06:13:49.000+05:45,107,Severe weather,high,Severe weather affecting line 12 (high severity)
DIS-153389,WDBC,120,2026-06-12T16:28:04.000+05:45,2026-06-12T16:56:04.000+05:45,28,Driver shortage,low,Driver shortage affecting line 120 (low severity)
DIS-858579,BLUS,538,2026-06-08T17:52:09.000+05:45,2026-06-08T18:10:09.000+05:45,18,Severe weather,severe,Severe weather affecting line 538 (severe severity)
DIS-778067,TDTR,1B,2026-05-29T01:37:13.000+05:45,2026-05-29T04:40:13.000+05:45,183,Road closure,medium,Road closure affecting line 1B (medium severity)
DIS-949224,SWWD,907,2026-06-04T17:01:50.000+05:45,2026-06-04T20:16:50.000+05:45,195,Roadworks,high,Roadworks affecting line 907 (high severity)
DIS-708915,SWWD,987,2026-04-21T12:01:39.000+05:45,2026-04-21T15:53:39.000+05:45,232,Diversion,severe,Diversion affecting line 987 (severe severity)
DIS-231360,SWWD,937,2026-05-19T01:12:09.000+05:45,2026-05-19T02:55:09.000+05:45,103,Severe weather,medium,Severe weather affecting line 937 (medium severity)
DIS-686165,DAMY,20,2026-05-29T12:50:33.000+05:45,2026-05-29T16:06:33.000+05:45,196,Severe weather,low,Severe weather affecting line 20 (low severity)
DIS-726246,WDBC,1A,2026-07-04T08:41:23.000+05:45,2026-07-04T10:03:23.000+05:45,82,Severe weather,medium,Severe weather affecting line 1A (medium severity)
DIS-582685,BLUS,61,2026-07-08T16:00:23.000+05:45,2026-07-08T18:50:23.000+05:45,170,Accident on route,low,Accident on route affecting line 61 (low severity)
DIS-326761,SWWD,8,2026-04-22T14:35:45.000+05:45,2026-04-22T16:35:45.000+05:45,120,Traffic congestion,low,Traffic congestion affecting line 8 (low severity)
DIS-271625,SWWD,927,2026-06-16T17:20:45.000+05:45,2026-06-16T19:54:45.000+05:45,154,Road closure,high,Road closure affecting line 927 (high severity)
DIS-921549,SWWD,X2,2026-05-20T18:14:25.000+05:45,2026-05-20T20:03:25.000+05:45,109,Traffic congestion,severe,Traffic congestion affecting line X2 (severe severity)
DIS-371206,UNIL,U1A,2026-05-25T23:31:36.000+05:45,2026-05-26T02:11:36.000+05:45,160,Road closure,medium,Road closure affecting line U1A (medium severity)
DIS-596939,WDBC,940,2026-05-04T13:21:44.000+05:45,2026-05-04T14:25:44.000+05:45,64,Road closure,medium,Road closure affecting line 940 (medium severity)
DIS-645794,TDTR,1A,2026-05-12T09:43:26.000+05:45,2026-05-12T11:25:26.000+05:45,102,Traffic congestion,high,Traffic congestion affecting line 1A (high severity)
DIS-440200,SVCT,8,2026-06-26T01:40:15.000+05:45,2026-06-26T02:57:15.000+05:45,77,Road closure,severe,Road closure affecting line 8 (severe severity)
DIS-869146,TDTR,9,2026-05-02T11:28:19.000+05:45,2026-05-02T14:33:19.000+05:45,185,Driver shortage,high,Driver shortage affecting line 9 (high severity)
DIS-113211,TDTR,920,2026-07-02T06:38:40.000+05:45,2026-07-02T07:43:40.000+05:45,65,Severe weather,low,Severe weather affecting line 920 (low severity)
DIS-622231,UNIL,U1A,2026-07-05T03:45:28.000+05:45,2026-07-05T04:15:28.000+05:45,30,Diversion,medium,Diversion affecting line U1A (medium severity)
DIS-205348,WDBC,17,2026-06-15T12:55:52.000+05:45,2026-06-15T16:41:52.000+05:45,226,Driver shortage,severe,Driver shortage affecting line 17 (severe severity)
DIS-115886,BLUS,504,2026-06-28T06:45:50.000+05:45,2026-06-28T09:15:50.000+05:45,150,Driver shortage,low,Driver shortage affecting line 504 (low severity)
DIS-745946,WDBC,16,2026-06-17T19:35:42.000+05:45,2026-06-17T23:21:42.000+05:45,226,Driver shortage,medium,Driver shortage affecting line 16 (medium severity)
DIS-337520,SQ,TB1,2026-05-09T19:45:04.000+05:45,2026-05-09T20:03:04.000+05:45,18,Diversion,high,Diversion affecting line TB1 (high severity)
DIS-184170,WDBC,112,2026-04-25T23:35:29.000+05:45,2026-04-26T03:23:29.000+05:45,228,Severe weather,severe,Severe weather affecting line 112 (severe severity)
DIS-389633,TDTR,22,2026-05-19T03:36:55.000+05:45,2026-05-19T07:20:55.000+05:45,224,Severe weather,severe,Severe weather affecting line 22 (severe severity)
DIS-865477,WDBC,NFR,2026-04-29T21:32:40.000+05:45,2026-04-29T22:17:40.000+05:45,45,Roadworks,medium,Roadworks affecting line NFR (medium severity)
DIS-132314,BLUS,PR1,2026-06-09T00:07:06.000+05:45,2026-06-09T03:35:06.000+05:45,208,Vehicle breakdown,severe,Vehicle breakdown affecting line PR1 (severe severity)
DIS-643595,BLUS,3,2026-07-16T00:37:01.000+05:45,2026-07-16T03:42:01.000+05:45,185,Vehicle breakdown,severe,Vehicle breakdown affecting line 3 (severe severity)
DIS-628660,WDBC,m2,2026-05-21T14:46:46.000+05:45,2026-05-21T16:43:46.000+05:45,117,Severe weather,severe,Severe weather affecting line m2 (severe severity)
DIS-394293,TDTR,R24,2026-06-08T10:07:29.000+05:45,2026-06-08T12:05:29.000+05:45,118,Planned engineering works,low,Planned engineering works affecting line R24 (low severity)
DIS-467982,SWWD,8,2026-04-24T21:22:39.000+05:45,2026-04-24T22:53:39.000+05:45,91,Accident on route,medium,Accident on route affecting line 8 (medium severity)
DIS-601775,SWWD,X5,2026-07-13T06:19:22.000+05:45,2026-07-13T09:26:22.000+05:45,187,Roadworks,high,Roadworks affecting line X5 (high severity)
DIS-939186,SWWD,625,2026-07-18T16:54:22.000+05:45,2026-07-18T20:29:22.000+05:45,215,Traffic congestion,severe,Traffic congestion affecting line 625 (severe severity)
DIS-598917,WDBC,13,2026-07-21T00:04:24.000+05:45,2026-07-21T03:26:24.000+05:45,202,Accident on route,low,Accident on route affecting line 13 (low severity)
DIS-369953,BLUS,18,2026-04-26T21:26:01.000+05:45,2026-04-26T23:16:01.000+05:45,110,Vehicle breakdown,severe,Vehicle breakdown affecting line 18 (severe severity)
DIS-943535,WDBC,1C,2026-05-29T13:22:59.000+05:45,2026-05-29T15:52:59.000+05:45,150,Roadworks,severe,Roadworks affecting line 1C (severe severity)
DIS-464247,SVCT,SL,2026-07-07T05:07:02.000+05:45,2026-07-07T08:16:02.000+05:45,189,Severe weather,medium,Severe weather affecting line SL (medium severity)
DIS-878626,SWWD,101,2026-04-23T18:10:07.000+05:45,2026-04-23T21:00:07.000+05:45,170,Roadworks,severe,Roadworks affecting line 101 (severe severity)
DIS-117541,WDBC,50,2026-06-23T00:39:04.000+05:45,2026-06-23T02:18:04.000+05:45,99,Diversion,severe,Diversion affecting line 50 (severe severity)
DIS-331385,SWWD,R14,2026-05-30T16:12:29.000+05:45,2026-05-30T19:20:29.000+05:45,188,Accident on route,high,Accident on route affecting line R14 (high severity)
DIS-298675,WDBC,26,2026-05-13T22:18:15.000+05:45,2026-05-14T01:04:15.000+05:45,166,Road closure,high,Road closure affecting line 26 (high severity)
DIS-940716,SVCT,38,2026-05-28T13:01:25.000+05:45,2026-05-28T15:52:25.000+05:45,171,Road closure,high,Road closure affecting line 38 (high severity)
DIS-858820,WDBC,737,2026-07-07T00:27:32.000+05:45,2026-07-07T02:48:32.000+05:45,141,Road closure,high,Road closure affecting line 737 (high severity)
DIS-225680,WDBC,1A,2026-06-10T07:31:06.000+05:45,2026-06-10T10:17:06.000+05:45,166,Road closure,high,Road closure affecting line 1A (high severity)
DIS-466960,WDBC,86,2026-04-27T17:17:40.000+05:45,2026-04-27T17:41:40.000+05:45,24,Roadworks,medium,Roadworks affecting line 86 (medium severity)
DIS-665205,BLUS,5,2026-06-25T01:40:46.000+05:45,2026-06-25T05:32:46.000+05:45,232,Traffic congestion,low,Traffic congestion affecting line 5 (low severity)
DIS-524954,SWWD,R8,2026-05-26T13:04:14.000+05:45,2026-05-26T16:16:14.000+05:45,192,Driver shortage,severe,Driver shortage affecting line R8 (severe severity)
DIS-285638,WDBC,7B,2026-06-02T08:12:31.000+05:45,2026-06-02T11:11:31.000+05:45,179,Diversion,high,Diversion affecting line 7B (high severity)
DIS-594075,WDBC,940,2026-06-06T06:17:28.000+05:45,2026-06-06T08:38:28.000+05:45,141,Diversion,high,Diversion affecting line 940 (high severity)
DIS-863749,TDTR,156,2026-05-02T01:50:54.000+05:45,2026-05-02T02:08:54.000+05:45,18,Diversion,medium,Diversion affecting line 156 (medium severity)
DIS-632900,SWWD,ST,2026-06-16T03:51:40.000+05:45,2026-06-16T05:28:40.000+05:45,97,Planned engineering works,low,Planned engineering works affecting line ST (low severity)
DIS-835288,UNIL,U2B,2026-05-17T07:51:25.000+05:45,2026-05-17T11:43:25.000+05:45,232,Accident on route,low,Accident on route affecting line U2B (low severity)
DIS-583091,WDBC,744,2026-06-07T04:49:26.000+05:45,2026-06-07T07:04:26.000+05:45,135,Severe weather,severe,Severe weather affecting line 744 (severe severity)
DIS-582220,UNIL,U2B,2026-06-28T23:19:59.000+05:45,2026-06-29T01:54:59.000+05:45,155,Driver shortage,low,Driver shortage affecting line U2B (low severity)
DIS-203789,WDBC,940,2026-07-10T16:05:03.000+05:45,2026-07-10T19:39:03.000+05:45,214,Vehicle breakdown,low,Vehicle breakdown affecting line 940 (low severity)
DIS-750819,SWWD,927,2026-04-24T12:08:16.000+05:45,2026-04-24T12:31:16.000+05:45,23,Planned engineering works,high,Planned engineering works affecting line 927 (high severity)
DIS-731037,WDBC,941,2026-05-24T01:43:39.000+05:45,2026-05-24T02:10:39.000+05:45,27,Traffic congestion,medium,Traffic congestion affecting line 941 (medium severity)
DIS-662442,BLUS,11,2026-07-04T12:13:18.000+05:45,2026-07-04T12:35:18.000+05:45,22,Planned engineering works,low,Planned engineering works affecting line 11 (low severity)
DIS-405988,BLUS,QC,2026-05-20T21:42:26.000+05:45,2026-05-20T22:21:26.000+05:45,39,Planned engineering works,low,Planned engineering works affecting line QC (low severity)
DIS-461716,BLUS,8,2026-06-24T14:37:22.000+05:45,2026-06-24T18:15:22.000+05:45,218,Traffic congestion,medium,Traffic congestion affecting line 8 (medium severity)
DIS-577417,WDBC,26,2026-05-05T03:01:37.000+05:45,2026-05-05T05:02:37.000+05:45,121,Accident on route,low,Accident on route affecting line 26 (low severity)
DIS-435362,SWWD,88,2026-04-28T02:38:33.000+05:45,2026-04-28T03:11:33.000+05:45,33,Traffic congestion,severe,Traffic congestion affecting line 88 (severe severity)
DIS-272115,SWWD,MHDRT,2026-06-26T15:50:17.000+05:45,2026-06-26T17:41:17.000+05:45,111,Roadworks,medium,Roadworks affecting line MHDRT (medium severity)
DIS-759263,SWWD,25,2026-07-14T15:15:18.000+05:45,2026-07-14T15:44:18.000+05:45,29,Severe weather,low,Severe weather affecting line 25 (low severity)
DIS-425686,SWWD,929,2026-05-09T22:52:56.000+05:45,2026-05-09T23:32:56.000+05:45,40,Accident on route,medium,Accident on route affecting line 929 (medium severity)
DIS-379662,UNIL,U1C,2026-05-25T20:34:33.000+05:45,2026-05-25T23:27:33.000+05:45,173,Road closure,low,Road closure affecting line U1C (low severity)
DIS-904254,WDBC,7B,2026-05-26T16:02:11.000+05:45,2026-05-26T17:54:11.000+05:45,112,Driver shortage,low,Driver shortage affecting line 7B (low severity)
DIS-881979,WDBC,33,2026-04-21T00:50:25.000+05:45,2026-04-21T02:48:25.000+05:45,118,Vehicle breakdown,medium,Vehicle breakdown affecting line 33 (medium severity)
